game_id,name,last_played,category
377055,Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion,0,Campaign
377056,Arkham Horror: The Card Game – The Forgotten Age: Investigator Expansion,0,Campaign
225563,Arkham Horror: The Card Game – The Path to Carcosa: Expansion,0,Campaign
255984,Sleeping Gods,2024-04-14,Campaign
21059,Arkham Horror: Dunwich Horror Expansion,2024-06-29,Campaign
359609,Arkham Horror: The Card Game (Revised Edition),2024-07-29,Campaign
1406,Monopoly,0,Four Player
9209,Ticket to Ride,2024-09-01,Four Player
352574,Fit to Print,2024-09-02,Four Player
148767,Brandon the Brave,0,Kids
290236,Canvas,0,Kids
386937,Lacuna,0,Kids
91514,Rhino Hero,0,Kids
159566,Unicorn Glitterluck: Cloud Crystals,2024-09-27,Kids
310873,Carnegie,0,Long
216788,A Feast for Odin: The Norwegians,0,Long
120677,Terra Mystica,0,Long
360226,Viticulture World: Cooperative Expansion,0,Long
267058,300: Earth & Water,2024-03-24,Long
12333,Twilight Struggle,2024-04-13,Long
177736,A Feast for Odin,2024-05-05,Long
259066,Commands & Colors: Samurai Battles,2024-05-25,Long
162886,Spirit Island,2024-05-27,Long
402663,Salton Sea,2024-08-24,Long
10630,Memoir '44,2024-09-11,Long
285967,Ankh: Gods of Egypt,2024-09-27,Long
308505,Ankh: Gods of Egypt – Pharaoh,2024-09-27,Long
173346,7 Wonders Duel,0,Normal
309116,7 Wonders Duel: Agora,0,Normal
202976,7 Wonders Duel: Pantheon,0,Normal
365950,Aeon's End: Evolution,0,Normal
364530,Aeon's End: Origins,0,Normal
171,Chess,0,Normal
160477,Onitama,0,Normal
219326,Onitama: Sensei's Path,0,Normal
252999,Onitama: Way of the Wind,0,Normal
260180,Project L,0,Normal
287508,Project L: Finesse,0,Normal
284988,Project L: Ghost Piece,0,Normal
25669,Qwirkle,0,Normal
93401,Rivals for Catan: Age of Darkness,0,Normal
127437,Rivals for Catan: Age of Enlightenment,0,Normal
202453,Targi: The Expansion,0,Normal
193823,Viticulture: Moor Visitors Expansion,0,Normal
248929,Viticulture: Visit from the Rhine Valley,0,Normal
351991,Worldbreakers: Advent of the Khanate,0,Normal
329954,Carcassonne: 20th Anniversary Edition,2024-03-29,Normal
66056,Rivals for Catan,2024-04-04,Normal
5,Acquire,2024-04-08,Normal
209419,Dominion: Intrigue (Second Edition),2024-04-26,Normal
182874,Grand Austria Hotel,2024-04-26,Normal
373106,Sky Team,2024-05-03,Normal
200680,Agricola (Revised Edition),2024-05-11,Normal
54043,Jaipur,2024-05-26,Normal
2655,Hive,2024-05-28,Normal
230802,Azul,2024-06-09,Normal
295947,Cascadia,2024-06-23,Normal
271320,The Castles of Burgundy,2024-06-24,Normal
231733,Obsession,2024-06-29,Normal
338376,A Gest of Robin Hood,2024-06-30,Normal
199792,Everdell,2024-07-01,Normal
336929,Land vs Sea,2024-07-04,Normal
191189,Aeon's End,2024-07-05,Normal
320780,Grand Austria Hotel: Let's Waltz!,2024-07-06,Normal
118048,Targi,2024-07-10,Normal
342942,Ark Nova,2024-07-25,Normal
147020,Star Realms,2024-08-07,Normal
7854,YINSH,2024-08-08,Normal
50,Lost Cities,2024-08-12,Normal
320,Scrabble,2024-08-13,Normal
312484,Lost Ruins of Arnak,2024-08-25,Normal
224037,Codenames: Duet,2024-08-26,Normal
382834,Trail Story: America,2024-08-31,Normal
183394,Viticulture Essential Edition,2024-09-02,Normal
209418,Dominion (Second Edition),2024-09-26,Normal
70704,Hive: The Ladybug,0,ignore
30323,Hive: The Mosquito,0,ignore
139666,Hive: The Pillbug,0,ignore
166702,Star Realms: Crisis – Bases & Battleships,0,ignore
166707,Star Realms: Crisis – Events,0,ignore
166708,Star Realms: Crisis – Heroes,0,ignore
